TIME, SIMTIME, CAMERA, GROUNDID, LABEL, X, Y, Z, ERROR
1612812837403,2692,FRONT-eval,333,person,-9.3119,7.7754,0.8779,6.3452
1612812837403,2692,FRONT-eval,301,person,-30.1851,-22.4971,0.8782,0.1844
1612812837404,2692,FRONT-eval,332,person,-33.8570,7.0722,0.5983,1000000.0000
1612812837405,2692,FRONT-eval,333,person,-9.2389,7.7839,0.9646,0.0642
1612812837405,2692,FRONT-eval,301,person,-30.1744,-22.4304,0.9650,1000000.0000
1612812837405,2692,FRONT-eval,332,person,-33.7838,7.0785,0.6850,1000000.0000
1612812837509,2692,BACK-eval,292,person,8.2891,-4.9893,0.8783,8.3004
1612812837509,2692,BACK-eval,349,person,28.8767,7.1802,0.5981,1000000.0000
1612812837509,2692,BACK-eval,292,person,8.3441,-4.9965,0.9650,9.3938
1612812837509,2692,BACK-eval,349,person,28.8767,7.1802,0.6849,1000000.0000
1612812838017,2742,FRONT-eval,301,person,-30.1636,-22.3635,1.0181,0.0868
1612812838017,2742,FRONT-eval,332,person,-33.7106,7.0849,0.7382,1000000.0000
1612812838017,2742,FRONT-eval,333,person,-9.1659,7.7925,1.0178,1000000.0000
1612812838017,2742,FRONT-eval,346,person,-42.3291,-3.5188,0.9459,1000000.0000
1612812838119,2742,BACK-eval,292,person,8.3991,-5.0035,1.0182,9.3456
1612812838119,2742,BACK-eval,349,person,28.8034,7.1844,0.7380,1000000.0000
1612812838645,2792,FRONT-eval,301,person,-30.1525,-22.2965,1.0401,0.1965
1612812838645,2792,FRONT-eval,332,person,-33.6373,7.0913,0.7602,1000000.0000
1612812838645,2792,FRONT-eval,333,person,-9.0929,7.8011,1.0398,1000000.0000
1612812838645,2792,FRONT-eval,346,person,-42.4026,-3.5192,0.8332,1000000.0000
1612812838689,2792,BACK-eval,292,person,8.4543,-5.0105,1.0402,9.9937
1612812838689,2792,BACK-eval,349,person,28.8034,7.1844,0.7600,1000000.0000
1612812839289,2842,BACK-eval,292,person,8.5095,-5.0173,1.0466,10.3016
1612812839316,2842,FRONT-eval,301,person,-30.1412,-22.2292,1.0466,0.1993
1612812839317,2842,FRONT-eval,332,person,-33.5641,7.0977,0.7666,1000000.0000
1612812839317,2842,FRONT-eval,346,person,-42.4761,-3.5196,0.7749,1000000.0000
1612812839848,2892,FRONT-eval,301,person,-30.1298,-22.1617,1.0459,0.0402
1612812839848,2892,FRONT-eval,332,person,-33.4909,7.1041,0.7660,1000000.0000
1612812839848,2892,FRONT-eval,346,person,-42.5496,-3.5200,0.7743,1000000.0000
1612812839917,2892,BACK-eval,292,person,8.5648,-5.0240,1.0460,10.6225
1612812840475,2942,FRONT-eval,301,person,-30.1181,-22.0939,1.0425,0.1154
1612812840475,2942,FRONT-eval,332,person,-33.4176,7.1105,0.7626,1000000.0000
