X,Y,Z,ERROR
44,13,0,45.880278987817846
11,-49,0,50.21951811795888
40,-41,0,57.28001396647874
13,-45,0,46.84015371452148
1,40,0,40.01249804748511
24,33,0,40.80441152620633
18,42,0,45.69463863518345
20,-15,0,25.0
1,20,0,20.024984394500787
32,-46,0,56.0357029044876
20,-30,0,36.05551275463989
6,34,0,34.52535300326414
43,18,0,46.61544808322666
43,11,0,44.384682042344295
33,-8,0,33.95585369269929
45,-44,0,62.93647591023825
37,-21,0,42.5440947723653
31,-24,0,39.20459156782532
7,47,0,47.51841748206689
30,-21,0,36.61966684720111
17,-22,0,27.80287754891569
27,39,0,47.43416490252569
35,-33,0,48.104053883222775
11,-38,0,39.56008088970496
2,-34,0,34.058772731852805
17,5,0,17.72004514666935
21,-8,0,22.47220505424423
10,-41,0,42.20189569201838
7,3,0,7.615773105863909
45,26,0,51.97114584074513
42,-49,0,64.53681120105021
25,-21,0,32.64965543462902
47,-4,0,47.16990566028302
4,39,0,39.20459156782532
25,-49,0,55.00909015790027
35,16,0,38.48376280978771
38,32,0,49.678969393496885
9,40,0,41.0
46,-46,0,65.05382386916237
48,45,0,65.79513659838392
5,-33,0,33.37663853655727
1,21,0,21.02379604162864
16,35,0,38.48376280978771
21,22,0,30.4138126514911
35,-32,0,47.4236228055175
4,15,0,15.524174696260024
36,15,0,39.0
32,-14,0,34.92849839314596
0,1,0,1.0
8,-14,0,16.1245154965971
10,-12,0,15.620499351813308
48,16,0,50.59644256269407
0,26,0,26.0
36,-5,0,36.345563690772494
46,1,0,46.010868281309364
20,4,0,20.396078054371138
26,29,0,38.948684188300895
10,-42,0,43.174066289845804
39,49,0,62.625873247404705
36,16,0,39.395431207184416
40,-1,0,40.01249804748511
24,-34,0,41.617304093369626
24,9,0,25.632011235952593
43,-44,0,61.5223536610881
18,-25,0,30.805843601498726
31,41,0,51.40038910358559
33,24,0,40.80441152620633
22,-31,0,38.01315561749642
30,14,0,33.1058907144937
1,-20,0,20.024984394500787
47,-17,0,49.9799959983992
37,-38,0,53.03772242470448
1,36,0,36.013886210738214
8,-2,0,8.246211251235321
1,37,0,37.013511046643494
48,-36,0,60.0
29,12,0,31.38470965295043
40,32,0,51.22499389946279
30,2,0,30.066592756745816
2,-10,0,10.198039027185569
24,-46,0,51.884487084291386
