X,Y,Z,ERROR
48,25,0,1.0
15,-40,0,0.0001
3,23,0,0.0001
34,34,0,1.0
43,-31,0,1.0
18,49,0,1.0
15,-6,0,0.0001
0,30,0,0.0001
26,17,0,0.0001
30,40,0,1.0
18,34,0,0.0001
11,19,0,0.0001
7,17,0,0.0001
42,32,0,1.0
6,19,0,0.0001
18,17,0,0.0001
26,14,0,0.0001
31,12,0,0.0001
24,-27,0,0.0001
44,17,0,1.0
15,0,0,0.0001
4,10,0,0.0001
35,-42,0,1.0
29,15,0,0.0001
0,-39,0,0.0001
16,20,0,0.0001
5,-18,0,0.0001
24,-4,0,0.0001
23,44,0,1.0
17,44,0,1.0
42,-46,0,1.0
42,-9,0,0.0001
13,-43,0,0.0001
24,-32,0,0.0001
10,19,0,0.0001
20,45,0,1.0
25,-34,0,0.0001
44,27,0,1.0
42,23,0,1.0
42,-19,0,1.0
42,18,0,1.0
32,-1,0,0.0001
44,34,0,1.0
37,-17,0,0.0001
7,-13,0,0.0001
15,27,0,0.0001
5,29,0,0.0001
17,46,0,1.0
17,20,0,0.0001
22,-33,0,0.0001
36,12,0,0.0001
41,-19,0,1.0
42,35,0,1.0
22,47,0,1.0
32,-36,0,1.0
20,-30,0,0.0001
45,36,0,1.0
43,34,0,1.0
4,34,0,0.0001
30,46,0,1.0
14,-21,0,0.0001
38,6,0,0.0001
9,-9,0,0.0001
24,29,0,0.0001
36,28,0,1.0
17,11,0,0.0001
0,24,0,0.0001
6,13,0,0.0001
43,-44,0,1.0
8,-12,0,0.0001
6,-9,0,0.0001
27,-36,0,1.0
0,49,0,1.0
37,-21,0,0.0001
14,46,0,1.0
45,-3,0,1.0
16,-29,0,0.0001
25,5,0,0.0001
45,49,0,1.0
48,13,0,1.0
34,34,0,1.0
31,15,0,0.0001
16,41,0,0.0001
9,-12,0,0.0001
5,19,0,0.0001
1,-38,0,0.0001
29,22,0,0.0001
16,-3,0,0.0001
27,48,0,1.0
49,14,0,1.0
45,-36,0,1.0
16,15,0,0.0001
12,-16,0,0.0001
40,11,0,0.0001
4,21,0,0.0001
32,34,0,1.0
14,37,0,0.0001
33,0,0,0.0001
45,-7,0,1.0
21,-5,0,0.0001
8,9,0,0.0001
17,-14,0,0.0001
23,4,0,0.0001
25,16,0,0.0001
44,-20,0,1.0
3,45,0,1.0
12,14,0,0.0001
47,-42,0,1.0
8,-18,0,0.0001
23,-35,0,0.0001
6,26,0,0.0001
26,23,0,0.0001
28,-25,0,0.0001
27,44,0,1.0
7,37,0,0.0001
13,48,0,1.0
4,-25,0,0.0001
25,-47,0,1.0
8,-47,0,1.0
39,14,0,0.0001
25,18,0,0.0001
32,7,0,0.0001
43,8,0,0.0001
46,5,0,1.0
47,22,0,1.0
6,21,0,0.0001
32,-39,0,1.0
1,29,0,0.0001
31,38,0,1.0
46,-7,0,1.0
41,24,0,1.0
28,-35,0,0.0001
6,-32,0,0.0001
1,-20,0,0.0001
11,38,0,0.0001
27,47,0,1.0
48,-41,0,1.0
17,26,0,0.0001
49,-19,0,1.0
46,35,0,1.0
30,-5,0,0.0001
12,43,0,0.0001
6,-24,0,0.0001
40,-18,0,0.0001
9,4,0,0.0001
12,4,0,0.0001
33,3,0,0.0001
46,34,0,1.0
9,41,0,0.0001
15,30,0,0.0001
23,46,0,1.0
22,3,0,0.0001
35,6,0,0.0001
19,46,0,1.0
48,-30,0,1.0
0,-33,0,0.0001
9,0,0,0.0001
20,21,0,0.0001
34,-2,0,0.0001
29,4,0,0.0001
7,-24,0,0.0001
2,-46,0,1.0
33,-11,0,0.0001
41,9,0,0.0001
9,-23,0,0.0001
15,-24,0,0.0001
6,-43,0,0.0001
30,3,0,0.0001
9,33,0,0.0001
14,3,0,0.0001
25,34,0,0.0001
15,8,0,0.0001
20,-49,0,1.0
9,8,0,0.0001
23,25,0,0.0001
47,-46,0,1.0
44,47,0,1.0
27,-16,0,0.0001
11,40,0,0.0001
34,-36,0,1.0
31,-3,0,0.0001
46,-35,0,1.0
5,-5,0,0.0001
35,-22,0,0.0001
2,-38,0,0.0001
20,26,0,0.0001
31,44,0,1.0
43,20,0,1.0
4,-31,0,0.0001
43,8,0,0.0001
32,12,0,0.0001
49,26,0,1.0
27,23,0,0.0001
4,14,0,0.0001
30,-36,0,1.0
39,9,0,0.0001
29,-45,0,1.0
12,-17,0,0.0001
39,-14,0,0.0001
43,-3,0,0.0001
5,-38,0,0.0001
2,46,0,1.0
38,-41,0,1.0
39,-7,0,0.0001
42,48,0,1.0
5,-44,0,0.0001
39,-15,0,0.0001
1,34,0,0.0001
17,-2,0,0.0001
18,-34,0,0.0001
25,-17,0,0.0001
24,-32,0,0.0001
26,44,0,1.0
12,37,0,0.0001
5,42,0,0.0001
2,-17,0,0.0001
2,-41,0,0.0001
45,10,0,1.0
15,-49,0,1.0
46,26,0,1.0
6,14,0,0.0001
47,-32,0,1.0
29,36,0,1.0
40,11,0,0.0001
16,49,0,1.0
19,25,0,0.0001
7,-2,0,0.0001
29,-23,0,0.0001
16,39,0,0.0001
34,-17,0,0.0001
27,44,0,1.0
0,17,0,0.0001
24,8,0,0.0001
8,34,0,0.0001
10,33,0,0.0001
28,-19,0,0.0001
46,31,0,1.0
38,43,0,1.0
18,33,0,0.0001
16,-21,0,0.0001
6,36,0,0.0001
7,26,0,0.0001
18,33,0,0.0001
34,-18,0,0.0001
48,24,0,1.0
14,-3,0,0.0001
6,30,0,0.0001
4,-29,0,0.0001
22,-26,0,0.0001
2,-24,0,0.0001
46,-28,0,1.0
14,-32,0,0.0001
32,27,0,0.0001
23,45,0,1.0
27,-23,0,0.0001
21,37,0,0.0001
21,35,0,0.0001
39,37,0,1.0
9,-45,0,1.0
35,-12,0,0.0001
41,32,0,1.0
10,28,0,0.0001
41,-41,0,1.0
23,43,0,1.0
36,43,0,1.0
10,-10,0,0.0001
9,-3,0,0.0001
46,21,0,1.0
3,-29,0,0.0001
30,-1,0,0.0001
47,-38,0,1.0
31,-40,0,1.0
41,-22,0,1.0
41,-33,0,1.0
1,34,0,0.0001
5,-49,0,1.0
25,-27,0,0.0001
17,28,0,0.0001
9,-34,0,0.0001
15,27,0,0.0001
28,11,0,0.0001
41,21,0,1.0
9,3,0,0.0001
2,-38,0,0.0001
40,23,0,1.0
32,10,0,0.0001
24,2,0,0.0001
40,20,0,0.0001
16,-45,0,1.0
24,30,0,0.0001
18,-28,0,0.0001
2,17,0,0.0001
9,49,0,1.0
16,-22,0,0.0001
9,32,0,0.0001
38,22,0,0.0001
10,-15,0,0.0001
46,33,0,1.0
17,39,0,0.0001
13,2,0,0.0001
15,-15,0,0.0001
43,-1,0,0.0001
23,48,0,1.0
13,30,0,0.0001
47,37,0,1.0
1,-24,0,0.0001
43,-19,0,1.0
7,31,0,0.0001
5,-20,0,0.0001
16,-47,0,1.0
45,3,0,1.0
42,24,0,1.0
10,28,0,0.0001
7,30,0,0.0001
36,32,0,1.0
27,49,0,1.0
25,-21,0,0.0001
48,-2,0,1.0
33,44,0,1.0
25,-40,0,1.0
38,-49,0,1.0
22,5,0,0.0001
30,-21,0,0.0001
23,-27,0,0.0001
0,-13,0,0.0001
18,16,0,0.0001
12,47,0,1.0
14,48,0,1.0
33,-39,0,1.0
27,39,0,1.0
39,-35,0,1.0
47,-32,0,1.0
39,-7,0,0.0001
46,18,0,1.0
8,13,0,0.0001
24,43,0,1.0
49,30,0,1.0
35,34,0,1.0
38,8,0,0.0001
43,-30,0,1.0
49,9,0,1.0
28,-36,0,1.0
10,-22,0,0.0001
49,39,0,1.0
4,-10,0,0.0001
48,-17,0,1.0
27,46,0,1.0
29,0,0,0.0001
36,22,0,0.0001
39,-23,0,1.0
18,-21,0,0.0001
17,-24,0,0.0001
42,5,0,0.0001
7,43,0,0.0001
35,40,0,1.0
24,-13,0,0.0001
34,-20,0,0.0001
10,-45,0,1.0
33,0,0,0.0001
13,40,0,0.0001
11,-3,0,0.0001
47,42,0,1.0
28,42,0,1.0
35,-8,0,0.0001
44,32,0,1.0
25,10,0,0.0001
49,-29,0,1.0
43,18,0,1.0
13,-35,0,0.0001
26,24,0,0.0001
31,21,0,0.0001
13,-13,0,0.0001
6,39,0,0.0001
22,-8,0,0.0001
12,-6,0,0.0001
35,-14,0,0.0001
12,-9,0,0.0001
22,22,0,0.0001
3,16,0,0.0001
14,-39,0,0.0001
17,5,0,0.0001
27,6,0,0.0001
5,35,0,0.0001
20,49,0,1.0
23,-28,0,0.0001
11,49,0,1.0
0,30,0,0.0001
44,15,0,1.0
8,32,0,0.0001
6,17,0,0.0001
6,-15,0,0.0001
32,1,0,0.0001
27,46,0,1.0
9,-10,0,0.0001
13,44,0,1.0
38,-38,0,1.0
35,-2,0,0.0001
18,-8,0,0.0001
45,15,0,1.0
11,8,0,0.0001
30,8,0,0.0001
35,-33,0,1.0
18,3,0,0.0001
19,5,0,0.0001
40,-34,0,1.0
27,19,0,0.0001
4,-30,0,0.0001
30,-8,0,0.0001
45,43,0,1.0
29,-36,0,1.0
18,38,0,0.0001
1,28,0,0.0001
27,-46,0,1.0
24,-44,0,1.0
39,46,0,1.0
47,-37,0,1.0
17,20,0,0.0001
13,-2,0,0.0001
18,23,0,0.0001
16,24,0,0.0001
9,-19,0,0.0001
25,43,0,1.0
48,23,0,1.0
41,26,0,1.0
4,-21,0,0.0001
5,0,0,0.0001
21,-21,0,0.0001
6,-19,0,0.0001
11,-5,0,0.0001
34,-25,0,0.0001
45,44,0,1.0
26,27,0,0.0001
20,17,0,0.0001
26,-40,0,1.0
16,-41,0,0.0001
24,20,0,0.0001
45,7,0,1.0
35,-19,0,0.0001
29,4,0,0.0001
7,19,0,0.0001
3,-40,0,0.0001
18,8,0,0.0001
7,20,0,0.0001
19,3,0,0.0001
36,26,0,0.0001
24,18,0,0.0001
7,-4,0,0.0001
28,9,0,0.0001
48,7,0,1.0
30,3,0,0.0001
36,25,0,0.0001
34,-14,0,0.0001
18,-32,0,0.0001
34,31,0,1.0
49,-13,0,1.0
17,-25,0,0.0001
31,-33,0,1.0
48,-41,0,1.0
42,-3,0,0.0001
18,-4,0,0.0001
12,-13,0,0.0001
47,-47,0,1.0
11,-21,0,0.0001
7,-5,0,0.0001
14,-50,0,1.0
43,1,0,0.0001
47,12,0,1.0
9,25,0,0.0001
17,-38,0,0.0001
25,-5,0,0.0001
24,39,0,1.0
46,24,0,1.0
5,-15,0,0.0001
48,-21,0,1.0
22,46,0,1.0
41,-38,0,1.0
9,-3,0,0.0001
0,-40,0,0.0001
21,-25,0,0.0001
32,6,0,0.0001
20,-46,0,1.0
9,11,0,0.0001
10,38,0,0.0001
19,-9,0,0.0001
37,36,0,1.0
9,-25,0,0.0001
5,-49,0,1.0
30,34,0,1.0
2,-42,0,0.0001
46,-14,0,1.0
37,4,0,0.0001
35,-12,0,0.0001
26,44,0,1.0
34,-47,0,1.0
21,1,0,0.0001
2,21,0,0.0001
42,23,0,1.0
40,-25,0,1.0
11,-7,0,0.0001
43,-35,0,1.0
37,-44,0,1.0
11,6,0,0.0001
8,33,0,0.0001
17,-48,0,1.0
2,-22,0,0.0001
0,-9,0,0.0001
47,43,0,1.0
26,28,0,0.0001
15,-15,0,0.0001
47,39,0,1.0
45,-26,0,1.0
29,17,0,0.0001
47,4,0,1.0
49,15,0,1.0
7,11,0,0.0001
38,45,0,1.0
13,12,0,0.0001
26,36,0,0.0001
21,29,0,0.0001
12,16,0,0.0001
11,-15,0,0.0001
7,15,0,0.0001
47,-38,0,1.0
17,-20,0,0.0001
44,-10,0,1.0
5,-41,0,0.0001
23,18,0,0.0001
17,-16,0,0.0001
37,34,0,1.0
8,15,0,0.0001
21,-16,0,0.0001
15,-24,0,0.0001
11,36,0,0.0001
48,29,0,1.0
33,-43,0,1.0
7,-21,0,0.0001
22,-46,0,1.0
21,-47,0,1.0
39,-11,0,0.0001
8,-49,0,1.0
31,47,0,1.0
19,32,0,0.0001
0,-46,0,1.0
34,-11,0,0.0001
11,14,0,0.0001
10,-34,0,0.0001
9,48,0,1.0
41,47,0,1.0
28,-36,0,1.0
1,-16,0,0.0001
8,-4,0,0.0001
3,-36,0,0.0001
22,-28,0,0.0001
21,-28,0,0.0001
16,-41,0,0.0001
0,-46,0,1.0
32,-50,0,1.0
24,-39,0,1.0
32,-44,0,1.0
36,43,0,1.0
48,-9,0,1.0
17,-16,0,0.0001
13,-43,0,0.0001
16,-39,0,0.0001
30,25,0,0.0001
5,-32,0,0.0001
32,-27,0,0.0001
22,18,0,0.0001
37,-10,0,0.0001
12,-23,0,0.0001
43,-21,0,1.0
26,-5,0,0.0001
35,36,0,1.0
31,23,0,0.0001
38,33,0,1.0
5,41,0,0.0001
2,-7,0,0.0001
20,-35,0,0.0001
24,34,0,0.0001
43,-38,0,1.0
41,32,0,1.0
3,41,0,0.0001
43,47,0,1.0
6,-1,0,0.0001
49,-2,0,1.0
14,3,0,0.0001
23,11,0,0.0001
28,32,0,0.0001
26,17,0,0.0001
33,-36,0,1.0
20,-27,0,0.0001
32,3,0,0.0001
43,-50,0,1.0
34,-50,0,1.0
31,19,0,0.0001
24,-6,0,0.0001
4,-50,0,1.0
49,19,0,1.0
4,-1,0,0.0001
13,34,0,0.0001
41,-38,0,1.0
0,-49,0,1.0
32,-19,0,0.0001
31,19,0,0.0001
10,-7,0,0.0001
10,-12,0,0.0001
7,20,0,0.0001
30,8,0,0.0001
1,32,0,0.0001
11,-25,0,0.0001
2,18,0,0.0001
7,2,0,0.0001
4,-6,0,0.0001
14,8,0,0.0001
27,-47,0,1.0
24,-19,0,0.0001
30,-48,0,1.0
7,-14,0,0.0001
44,-42,0,1.0
42,25,0,1.0
26,32,0,0.0001
21,24,0,0.0001
19,-33,0,0.0001
41,34,0,1.0
0,-13,0,0.0001
31,23,0,0.0001
46,-36,0,1.0
30,27,0,0.0001
26,26,0,0.0001
49,15,0,1.0
36,13,0,0.0001
19,-23,0,0.0001
8,-21,0,0.0001
21,-43,0,1.0
0,10,0,0.0001
0,-6,0,0.0001
7,21,0,0.0001
19,44,0,1.0
34,12,0,0.0001
49,28,0,1.0
47,-31,0,1.0
37,28,0,1.0
30,-43,0,1.0
38,36,0,1.0
49,-44,0,1.0
6,18,0,0.0001
44,-36,0,1.0
37,17,0,0.0001
4,-23,0,0.0001
8,48,0,1.0
7,-13,0,0.0001
35,31,0,1.0
17,-29,0,0.0001
45,44,0,1.0
23,29,0,0.0001
28,47,0,1.0
37,-5,0,0.0001
37,-24,0,0.0001
42,-44,0,1.0
48,4,0,1.0
43,-11,0,0.0001
3,47,0,1.0
46,-7,0,1.0
21,19,0,0.0001
2,13,0,0.0001
41,21,0,1.0
0,-11,0,0.0001
49,-25,0,1.0
18,9,0,0.0001
22,15,0,0.0001
20,33,0,0.0001
6,-21,0,0.0001
4,36,0,0.0001
46,-37,0,1.0
47,-37,0,1.0
18,44,0,1.0
17,23,0,0.0001
48,-27,0,1.0
32,-26,0,0.0001
17,35,0,0.0001
22,40,0,1.0
21,9,0,0.0001
33,-48,0,1.0
13,42,0,0.0001
42,-16,0,0.0001
9,-37,0,0.0001
31,-35,0,1.0
17,-50,0,1.0
3,34,0,0.0001
0,40,0,0.0001
34,20,0,0.0001
22,25,0,0.0001
4,12,0,0.0001
46,42,0,1.0
22,45,0,1.0
43,-9,0,0.0001
38,-47,0,1.0
30,2,0,0.0001
24,-31,0,0.0001
13,0,0,0.0001
27,49,0,1.0
6,38,0,0.0001
4,-7,0,0.0001
22,-8,0,0.0001
0,32,0,0.0001
16,26,0,0.0001
44,13,0,1.0
19,2,0,0.0001
21,40,0,1.0
31,-44,0,1.0
19,-42,0,1.0
2,22,0,0.0001
15,29,0,0.0001
5,-10,0,0.0001
42,-24,0,1.0
18,18,0,0.0001
32,-8,0,0.0001
49,-25,0,1.0
39,44,0,1.0
46,-28,0,1.0
17,-16,0,0.0001
30,22,0,0.0001
5,-21,0,0.0001
8,-43,0,0.0001
10,41,0,0.0001
49,12,0,1.0
46,30,0,1.0
26,22,0,0.0001
29,-6,0,0.0001
42,19,0,1.0
36,-37,0,1.0
42,22,0,1.0
27,33,0,0.0001
47,7,0,1.0
45,-47,0,1.0
8,-16,0,0.0001
43,-20,0,1.0
17,-9,0,0.0001
8,-14,0,0.0001
15,-23,0,0.0001
33,-42,0,1.0
35,-11,0,0.0001
11,-27,0,0.0001
47,-4,0,1.0
22,0,0,0.0001
35,21,0,0.0001
30,-33,0,0.0001
41,-4,0,0.0001
31,36,0,1.0
