TIME,SIMTIME,CAMERA,GROUNDID,LABEL,X,Y,Z,ERROR
1614794333970,2523,FRONT-eval,280,vehicle,-30.2000,0.0000,-0.0836,3.4411
1614794333970,2523,FRONT-eval,345,person,-32.6363,7.2874,0.8792,55.4600
1614794333970,2523,FRONT-eval,273,vehicle,-53.0939,3.4900,-0.0897,1000000.0000
1614794333971,2523,FRONT-eval,345,person,-32.6990,7.3050,0.9659,0.0377
1614794333971,2523,FRONT-eval,280,vehicle,-30.2000,0.0000,-0.0510,3.9370
1614794333971,2523,FRONT-eval,273,vehicle,-53.0939,3.4900,-0.0756,1000000.0000
1614794334164,2573,FRONT-eval,280,vehicle,-30.2000,0.0000,-0.0242,3.4928
1614794334164,2573,FRONT-eval,345,person,-32.7617,7.3225,1.0191,1000000.0000
1614794334164,2573,FRONT-eval,273,vehicle,-53.0939,3.4900,-0.0624,1000000.0000
1614794334519,2623,FRONT-eval,280,vehicle,-30.2000,0.0000,-0.0112,3.4832
1614794334519,2623,FRONT-eval,345,person,-32.8244,7.3398,1.0411,0.3683
1614794334519,2623,FRONT-eval,273,vehicle,-53.0939,3.4900,-0.0585,1000000.0000
1614794334856,2673,FRONT-eval,280,vehicle,-30.2000,0.0000,-0.0041,3.9513
1614794334856,2673,FRONT-eval,345,person,-32.8871,7.3570,1.0475,0.4315
1614794334856,2673,FRONT-eval,273,vehicle,-53.0939,3.4900,-0.0566,1000000.0000
1614794335183,2723,FRONT-eval,280,vehicle,-30.2000,0.0000,0.0005,3.9480
1614794335183,2723,FRONT-eval,345,person,-32.9498,7.3741,1.0469,0.3230
1614794335183,2723,FRONT-eval,273,vehicle,-53.0939,3.4900,-0.0541,1000000.0000
1614794335479,2773,FRONT-eval,345,person,-33.0125,7.3910,1.0434,0.3135
1614794335479,2773,FRONT-eval,280,vehicle,-30.2000,0.0000,0.0040,3.9456
1614794335479,2773,FRONT-eval,273,vehicle,-53.0939,3.4900,-0.0506,1000000.0000
1614794335831,2823,FRONT-eval,280,vehicle,-30.2000,0.0000,0.0067,3.9438
1614794335831,2823,FRONT-eval,345,person,-33.0751,7.4077,1.0393,0.0255
1614794335832,2823,FRONT-eval,273,vehicle,-53.0939,3.4900,-0.0465,1000000.0000
1614794336228,2873,FRONT-eval,280,vehicle,-30.2000,0.0000,0.0086,3.9423
1614794336228,2873,FRONT-eval,345,person,-33.1378,7.4244,1.0355,0.0317
1614794336228,2873,FRONT-eval,273,vehicle,-53.0939,3.4900,-0.0424,1000000.0000
1614794336644,2923,FRONT-eval,280,vehicle,-30.2000,0.0000,0.0099,3.9414
1614794336645,2923,FRONT-eval,273,vehicle,-53.0939,3.4900,-0.0387,416.3031
1614794336645,2923,FRONT-eval,345,person,-33.2005,7.4409,1.0324,336.3087
1614794336916,2973,FRONT-eval,345,person,-33.2631,7.4573,1.0299,334.1582
1614794336916,2973,FRONT-eval,280,vehicle,-30.2000,0.0000,0.0107,3.9410
1614794336916,2973,FRONT-eval,273,vehicle,-53.0939,3.4900,-0.0357,416.2938
1614794337234,3023,FRONT-eval,280,vehicle,-30.2000,0.0000,0.0110,3.9406
1614794337235,3023,FRONT-eval,273,vehicle,-53.0939,3.4900,-0.0333,411.3084
1614794337235,3023,FRONT-eval,345,person,-33.3258,7.4736,1.0280,332.0986
1614794337565,3073,FRONT-eval,280,vehicle,-30.2000,0.0000,0.0111,3.9407
1614794337565,3073,FRONT-eval,273,vehicle,-53.0939,3.4900,-0.0316,411.3023
1614794337565,3073,FRONT-eval,345,person,-33.3885,7.4897,1.0266,330.0471
1614794337854,3123,FRONT-eval,280,vehicle,-30.2000,0.0000,0.0109,3.9408
1614794337854,3123,FRONT-eval,273,vehicle,-53.0939,3.4900,-0.0305,406.3495
1614794337854,3123,FRONT-eval,345,person,-33.4511,7.5057,1.0256,328.0025
1614794338194,3173,FRONT-eval,345,person,-33.5138,7.5216,1.0249,325.9654
1614794338194,3173,FRONT-eval,280,vehicle,-30.2000,0.0000,0.0106,3.9410
1614794338194,3173,FRONT-eval,273,vehicle,-53.0939,3.4900,-0.0299,406.3439
1614794338445,3223,FRONT-eval,280,vehicle,-30.2000,0.0000,0.0102,3.9413
1614794338445,3223,FRONT-eval,273,vehicle,-53.0939,3.4900,-0.0296,401.5892
1614794338445,3223,FRONT-eval,345,person,-33.5765,7.5373,1.0244,323.9346
1614794338819,3273,FRONT-eval,280,vehicle,-30.2000,0.0000,0.0099,3.9414
1614794338819,3273,FRONT-eval,345,person,-33.6392,7.5529,1.0240,321.9933
1614794338819,3273,FRONT-eval,273,vehicle,-53.0939,3.4900,-0.0295,396.5343
1614794339137,3323,FRONT-eval,280,vehicle,-30.2000,0.0000,0.0096,3.9416
1614794339137,3323,FRONT-eval,345,person,-33.7019,7.5684,1.0238,315.4369
1614794339137,3323,FRONT-eval,273,vehicle,-53.0939,3.4900,-0.0296,391.8447
1614794339461,3373,FRONT-eval,280,vehicle,-30.2000,0.0000,0.0093,3.9419
1614794339461,3373,FRONT-eval,345,person,-33.7646,7.5836,1.0236,317.9654
1614794339461,3373,FRONT-eval,273,vehicle,-53.0939,3.4900,-0.0297,393.9230
1614794339787,3423,FRONT-eval,280,vehicle,-30.2000,0.0000,0.0091,3.9419
1614794339787,3423,FRONT-eval,345,person,-33.8273,7.5988,1.0235,311.3924
1614794339787,3423,FRONT-eval,273,vehicle,-53.0939,3.4900,-0.0299,388.3959
1614794340110,3473,FRONT-eval,273,vehicle,-53.0939,3.4900,-0.0301,389.0955
1614794340110,3473,FRONT-eval,280,vehicle,-30.2000,0.0000,0.0090,3.9421
1614794340111,3473,FRONT-eval,345,person,-33.8900,7.6139,1.0235,313.8830
1614794340495,3523,FRONT-eval,280,vehicle,-30.2000,0.0000,0.0089,3.9422
1614794340495,3523,FRONT-eval,345,person,-33.9501,7.6287,1.0234,307.4644
1614794340495,3523,FRONT-eval,273,vehicle,-53.0939,3.4900,-0.0302,388.3956
1614794340830,3573,FRONT-eval,280,vehicle,-30.2000,0.0000,0.0088,3.9422
1614794340830,3573,FRONT-eval,345,person,-34.0104,7.6428,1.0234,305.5434
1614794340830,3573,FRONT-eval,273,vehicle,-53.0939,3.4900,-0.0304,383.6034
1614794341160,3623,FRONT-eval,280,vehicle,-30.2000,0.0000,0.0088,3.9422
1614794341160,3623,FRONT-eval,273,vehicle,-53.0939,3.4900,-0.0305,383.6016
1614794341160,3623,FRONT-eval,345,person,-34.0705,7.6573,1.0234,308.1857
1614794341488,3673,FRONT-eval,280,vehicle,-30.2000,0.0000,0.0087,3.9423
1614794341488,3673,FRONT-eval,345,person,-34.1308,7.6711,1.0234,301.7300
1614794341488,3673,FRONT-eval,273,vehicle,-53.0939,3.4900,-0.0306,378.8369
1614794341784,3723,FRONT-eval,345,person,-34.1910,7.6854,1.0233,299.8373
1614794341784,3723,FRONT-eval,280,vehicle,-30.2000,0.0000,0.0087,3.9423
1614794341784,3723,FRONT-eval,273,vehicle,-53.0939,3.4900,-0.0306,378.7344
1614794342106,3773,FRONT-eval,280,vehicle,-30.2000,0.0000,0.0087,3.9423
1614794342107,3773,FRONT-eval,345,person,-34.2514,7.6989,1.0233,302.6093
1614794342107,3773,FRONT-eval,273,vehicle,-53.0939,3.4900,-0.0307,374.8046
1614794342431,3823,FRONT-eval,345,person,-34.3116,7.7130,1.0233,300.7416
