TIME,SIMTIME,CAMERA,GROUNDID,LABEL,X,Y,Z,ERROR
1622235650113,2423,FRONT-eval,292,vehicle,39.6250,-16.6875,-0.0766,59.5188
1622235650113,2423,FRONT-eval,268,vehicle,22.7031,-3.8809,-0.0829,6.0562
1622235650123,2423,FRONT-eval,268,vehicle,22.7031,-3.8809,-0.0664,6.0755
1622235650131,2423,FRONT-eval,292,vehicle,39.6250,-16.6875,-0.0577,59.5791
1622235650407,2473,FRONT-eval,268,vehicle,22.7031,-3.8809,-0.0658,6.3973
1622235650408,2473,FRONT-eval,292,vehicle,39.6250,-16.6875,-0.0602,60.0020
1622235650670,2523,FRONT-eval,292,vehicle,39.6250,-16.6875,-0.0801,59.4586
1622235650670,2523,FRONT-eval,268,vehicle,22.7031,-3.8809,-0.0787,6.4171
1622235650907,2573,FRONT-eval,268,vehicle,22.7031,-3.8809,-0.0914,6.1237
1622235650907,2573,FRONT-eval,292,vehicle,39.6250,-16.6875,-0.1014,59.7601
1622235651182,2623,FRONT-eval,292,vehicle,39.6250,-16.6875,-0.1168,59.8810
1622235651182,2623,FRONT-eval,268,vehicle,22.7031,-3.8809,-0.0981,6.0274
1622235651448,2673,FRONT-eval,268,vehicle,22.7031,-3.8809,-0.0980,5.9891
1622235651448,2673,FRONT-eval,292,vehicle,39.6250,-16.6875,-0.1234,59.6394
1622235651742,2723,FRONT-eval,268,vehicle,22.7031,-3.8809,-0.0922,5.9891
1622235651742,2723,FRONT-eval,292,vehicle,39.6250,-16.6875,-0.1216,60.3049
1622235652031,2773,FRONT-eval,268,vehicle,22.7031,-3.8809,-0.0825,6.1140
1622235652031,2773,FRONT-eval,292,vehicle,39.6250,-16.6875,-0.1129,59.2178
1622235652299,2823,FRONT-eval,268,vehicle,22.7031,-3.8809,-0.0711,6.0082
1622235652300,2823,FRONT-eval,292,vehicle,39.6250,-16.6875,-0.0992,60.5479
1622235652556,2873,FRONT-eval,268,vehicle,22.7031,-3.8809,-0.0597,5.9987
1622235652556,2873,FRONT-eval,292,vehicle,39.6250,-16.6875,-0.0829,60.4871
1622235652831,2923,FRONT-eval,268,vehicle,22.7031,-3.8809,-0.0496,5.9891
1622235652831,2923,FRONT-eval,292,vehicle,39.6250,-16.6875,-0.0659,60.1231
