TIME,SIMTIME,CAMERA,GROUNDID,LABEL,X,Y,Z,ERROR
1614796947991,2493,FRONT-eval,416,person,14.8266,3.4569,0.8782,138.6368
1614796947991,2493,FRONT-eval,377,person,15.9841,-8.3258,0.5995,216.6647
1614796947991,2493,FRONT-eval,270,vehicle,31.1043,-4.4293,-0.0897,331.6852
1614796947991,2493,FRONT-eval,317,person,-20.8846,44.8584,0.8771,1000000.0000
1614796947991,2493,FRONT-eval,321,person,-10.4544,53.1968,0.8783,1000000.0000
1614796947991,2493,FRONT-eval,369,person,-8.3008,3.0646,0.8866,1000000.0000
1614796947991,2493,FRONT-eval,376,person,-53.5436,3.2006,1.2279,1000000.0000
1614796947991,2493,FRONT-eval,378,person,-45.4210,-9.3108,0.8795,1000000.0000
1614796947991,2493,FRONT-eval,384,person,-54.6933,3.2937,1.2778,1000000.0000
1614796947991,2493,FRONT-eval,392,person,-9.6631,58.6273,0.4979,1000000.0000
1614796947991,2493,FRONT-eval,412,person,-21.3277,25.0202,1.5410,1000000.0000
1614796947991,2493,FRONT-eval,414,person,-9.5826,16.8726,0.8866,1000000.0000
1614796947991,2493,FRONT-eval,430,person,-9.6484,8.9747,0.8866,1000000.0000
1614796947992,2493,FRONT-eval,432,person,-10.4314,41.0133,0.8779,1000000.0000
1614796947992,2493,FRONT-eval,434,person,-46.7514,-9.0601,0.8795,1000000.0000
1614796947992,2493,FRONT-eval,436,person,3.6570,4.4764,0.8866,1000000.0000
1614796947992,2493,FRONT-eval,460,person,-10.7034,55.6716,0.5990,1000000.0000
1614796947992,2493,FRONT-eval,477,person,-51.6386,-8.0945,0.8794,1000000.0000
1614796947992,2493,FRONT-eval,289,vehicle,0.0000,0.0000,0.0000,1000000.0000
1614796947993,2493,FRONT-eval,416,person,14.7532,3.4608,0.9649,0.1120
1614796947993,2493,FRONT-eval,317,person,-20.9286,44.9173,0.9638,1000000.0000
1614796947993,2493,FRONT-eval,321,person,-10.4622,53.1400,0.9650,1000000.0000
1614796947993,2493,FRONT-eval,369,person,-8.3520,3.1068,0.9733,1000000.0000
1614796947993,2493,FRONT-eval,376,person,-53.4885,3.2012,1.2289,1000000.0000
1614796947993,2493,FRONT-eval,377,person,15.9106,-8.3265,0.6862,1000000.0000
1614796947993,2493,FRONT-eval,378,person,-45.4235,-9.3108,0.9663,1000000.0000
1614796947993,2493,FRONT-eval,384,person,-54.7484,3.2948,1.2788,1000000.0000
1614796947993,2493,FRONT-eval,392,person,-9.6522,58.5733,0.5846,1000000.0000
1614796947994,2493,FRONT-eval,412,person,-21.3319,24.9469,1.5420,1000000.0000
1614796947994,2493,FRONT-eval,414,person,-9.5880,16.8102,0.9733,1000000.0000
1614796947994,2493,FRONT-eval,430,person,-9.6495,9.0440,0.9733,1000000.0000
1614796947994,2493,FRONT-eval,432,person,-10.4223,41.0863,0.9647,1000000.0000
1614796947994,2493,FRONT-eval,434,person,-46.6957,-9.0422,0.9662,1000000.0000
1614796947994,2493,FRONT-eval,436,person,3.6181,4.5042,0.9733,1000000.0000
1614796947994,2493,FRONT-eval,460,person,-10.7034,55.6716,0.6857,1000000.0000
1614796947994,2493,FRONT-eval,477,person,-51.5823,-8.0971,0.9662,1000000.0000
1614796947995,2493,FRONT-eval,270,vehicle,31.1043,-4.4293,-0.0830,1000000.0000
1614796947995,2493,FRONT-eval,289,vehicle,0.0000,0.0000,0.0000,1000000.0000
1614796948190,2543,FRONT-eval,377,person,15.8372,-8.3271,0.7394,0.0501
1614796948190,2543,FRONT-eval,317,person,-20.9726,44.9762,1.0170,1000000.0000
1614796948190,2543,FRONT-eval,321,person,-10.4700,53.0832,1.0182,1000000.0000
1614796948190,2543,FRONT-eval,369,person,-8.4031,3.1493,1.0265,1000000.0000
1614796948190,2543,FRONT-eval,376,person,-53.4333,3.2020,1.1718,1000000.0000
1614796948190,2543,FRONT-eval,378,person,-45.4259,-9.3107,1.0194,1000000.0000
1614796948190,2543,FRONT-eval,384,person,-54.8035,3.2958,1.2217,1000000.0000
1614796948190,2543,FRONT-eval,392,person,-9.6400,58.5192,0.6378,1000000.0000
1614796948190,2543,FRONT-eval,412,person,-21.3361,24.8735,1.4849,1000000.0000
1614796948190,2543,FRONT-eval,414,person,-9.5934,16.7481,1.0265,1000000.0000
1614796948190,2543,FRONT-eval,416,person,14.6798,3.4648,1.0181,1000000.0000
1614796948191,2543,FRONT-eval,430,person,-9.6505,9.1134,1.0265,1000000.0000
1614796948191,2543,FRONT-eval,432,person,-10.4133,41.1592,1.0178,1000000.0000
