TIME,SIMTIME,CAMERA,GROUNDID,LABEL,X,Y,Z,ERROR
27086,311,334.9644,158.4430,0.0334,---,338.7556,218.1969,0.1289, 6.3957
27136,311,334.9595,158.6736,0.0334,---,338.7556,218.1969,0.1289, 6.5290
27186,311,334.9545,158.9042,0.0334,---,338.7556,218.1969,0.1289, 6.5337
27236,311,334.9494,159.1349,0.0334,---,338.7556,218.1969,0.1289, 6.3492
27286,311,334.9444,159.3655,0.0334,---,338.7556,218.1969,0.1289, 6.5438
27336,311,334.9393,159.5962,0.0334,---,338.7556,218.1969,0.1289, 6.5497
27386,311,334.9342,159.8269,0.0334,---,338.7556,218.1969,0.1289, 6.5551
27436,311,334.9290,160.0575,0.0334,---,338.7556,218.1969,0.1289, 6.5595
27486,311,334.9238,160.2882,0.0334,---,338.7556,218.1969,0.1289, 6.8798
27536,311,334.9185,160.5190,0.0334,---,338.7556,218.1969,0.1289, 6.5706
27586,311,334.9132,160.7497,0.0334,---,338.7556,218.1969,0.1289, 6.5762
27636,311,334.9079,160.9804,0.0334,---,338.7556,218.1969,0.1289, 6.5813
27686,311,334.9025,161.2112,0.0334,---,338.7556,218.1969,0.1289, 6.5876
27736,311,334.8971,161.4419,0.0334,---,338.7556,218.1969,0.1289, 6.5939
27786,311,334.8916,161.6727,0.0334,---,338.7556,218.1969,0.1289, 6.5997
27836,311,334.8861,161.9035,0.0334,---,338.7556,218.1969,0.1289, 6.6038
27886,311,334.8806,162.1343,0.0334,---,338.7556,218.1969,0.1289, 6.6109
27936,311,334.8750,162.3651,0.0334,---,338.7556,218.1969,0.1289, 6.6162
27986,311,334.8694,162.5959,0.0334,---,338.7556,218.1969,0.1289, 6.6228
28036,311,334.8637,162.8268,0.0334,---,338.7556,218.1969,0.1289, 6.6288
28086,311,334.8581,163.0576,0.0334,---,338.7556,218.1969,0.1289, 6.6349
28136,311,334.8524,163.2885,0.0334,---,338.7556,218.1969,0.1289, 6.4508
28186,311,334.8467,163.5194,0.0334,---,338.7556,218.1969,0.1289, 6.6473
28236,311,334.8410,163.7503,0.0334,---,338.7556,218.1969,0.1289, 6.6529
28286,311,334.8354,163.9812,0.0334,---,338.7556,218.1969,0.1289, 6.6591
28336,311,334.8297,164.2121,0.0334,---,338.7556,218.1969,0.1289, 6.6655
28386,311,334.8239,164.4430,0.0334,---,338.7556,218.1969,0.1289, 6.6718
28436,311,334.8182,164.6740,0.0334,---,338.7556,218.1969,0.1289, 6.4226
28486,311,334.8126,164.9050,0.0334,---,338.7556,218.1969,0.1289, 6.4291
28536,311,334.8069,165.1359,0.0334,---,338.7556,218.1969,0.1289, 6.6906
28586,311,334.8013,165.3669,0.0334,---,338.7556,218.1969,0.1289, 6.5025
28636,311,334.7958,165.5979,0.0334,---,338.7556,218.1969,0.1289, 6.5540
28686,311,334.7902,165.8289,0.0334,---,338.7556,218.1969,0.1289, 6.5600
28736,311,334.7848,166.0600,0.0334,---,338.7556,218.1969,0.1289, 6.5667
28786,311,334.7794,166.2910,0.0334,---,338.7556,218.1969,0.1289, 6.5728
28836,311,334.7740,166.5220,0.0334,---,338.7556,218.1969,0.1289, 6.5790
28886,311,334.7687,166.7531,0.0334,---,338.7556,218.1969,0.1289, 6.3302
28936,311,334.7635,166.9842,0.0334,---,338.7556,218.1969,0.1289, 6.5910
28986,311,334.7583,167.2153,0.0334,---,338.7556,218.1969,0.1289, 6.5974
29036,311,334.7532,167.4465,0.0334,---,338.7556,218.1969,0.1289, 6.3493
29086,311,334.7482,167.6776,0.0334,---,338.7556,218.1969,0.1289, 6.3558
29136,311,334.7433,167.9088,0.0334,---,338.7556,218.1969,0.1289, 6.3630
29186,311,334.7384,168.1399,0.0334,---,338.7556,218.1969,0.1289, 6.3690
29236,311,334.7337,168.3711,0.0334,---,338.7556,218.1969,0.1289, 6.6307
29286,311,334.7291,168.6023,0.0334,---,338.7556,218.1969,0.1289, 6.6374
29336,311,334.7245,168.8335,0.0334,---,338.7556,218.1969,0.1289, 6.3892
29386,311,334.7200,169.0647,0.0334,---,338.7556,218.1969,0.1289, 6.3966
29436,311,334.7157,169.2960,0.0334,---,338.7556,218.1969,0.1289, 6.4035
29486,311,334.7115,169.5272,0.0334,---,338.7556,218.1969,0.1289, 6.4105
29536,311,334.7073,169.7585,0.0334,---,338.7556,218.1969,0.1289, 6.4175
29586,311,334.7033,169.9898,0.0334,---,338.7556,218.1969,0.1289, 6.5459
29636,311,334.6994,170.2211,0.0334,---,338.7556,218.1969,0.1289, 6.8666
29686,311,334.6956,170.4524,0.0334,---,338.7556,218.1969,0.1289, 6.5589
29736,311,334.6920,170.6837,0.0334,---,338.7556,218.1969,0.1289, 6.5656
29786,311,334.6884,170.9151,0.0334,---,338.7556,218.1969,0.1289, 6.5723
29836,311,334.6849,171.1465,0.0334,---,338.7556,218.1969,0.1289, 6.5790
29886,311,334.6816,171.3779,0.0334,---,338.7556,218.1969,0.1289, 6.5858
29936,311,334.6784,171.6093,0.0334,---,338.7556,218.1969,0.1289, 6.5927
