TIME,SIMTIME,CAMERA,GROUNDID,LABEL,X,Y,Z,ERROR
1618424812261,9856,FRONT-eval,281,vehicle,25.5901,27.9185,0.0024,1000000.0000
1618424812540,9906,FRONT-eval,281,vehicle,25.5907,27.6779,0.0024,1000000.0000
1618424812811,9956,FRONT-eval,281,vehicle,25.5915,27.4373,0.0024,1000000.0000
1618424813068,10006,FRONT-eval,281,vehicle,25.5923,27.1966,0.0024,1000000.0000
1618424813355,10056,FRONT-eval,281,vehicle,25.5932,26.9560,0.0024,1000000.0000
1618424813603,10106,FRONT-eval,281,vehicle,25.5942,26.7153,0.0024,1000000.0000
1618424813846,10156,FRONT-eval,281,vehicle,25.5952,26.4747,0.0024,1000000.0000
1618424814091,10206,FRONT-eval,281,vehicle,25.5963,26.2340,0.0024,1000000.0000
1618424814373,10256,FRONT-eval,281,vehicle,25.5976,25.9933,0.0024,1000000.0000
1618424814666,10306,FRONT-eval,281,vehicle,25.5988,25.7526,0.0024,1000000.0000
1618424814905,10356,FRONT-eval,281,vehicle,25.6002,25.5119,0.0024,1000000.0000
1618424815162,10406,FRONT-eval,281,vehicle,25.6015,25.2712,0.0024,1000000.0000
1618424815424,10456,FRONT-eval,281,vehicle,25.6030,25.0305,0.0024,1000000.0000
1618424815682,10506,FRONT-eval,281,vehicle,25.6045,24.7897,0.0024,1000000.0000
1618424815924,10556,FRONT-eval,281,vehicle,25.6060,24.5490,0.0024,1000000.0000
1618424816204,10606,FRONT-eval,281,vehicle,25.6076,24.3082,0.0024,223.3856
1618424816509,10656,FRONT-eval,281,vehicle,25.6093,24.0675,0.0024,220.9734
1618424816769,10706,FRONT-eval,281,vehicle,25.6110,23.8267,0.0024,215.8543
1618424817074,10756,FRONT-eval,281,vehicle,25.6127,23.5859,0.0024,213.6048
1618424817306,10806,FRONT-eval,281,vehicle,25.6145,23.3451,0.0024,1000000.0000
1618424817566,10856,FRONT-eval,281,vehicle,25.6163,23.1043,0.0024,1000000.0000
1618424817813,10906,FRONT-eval,281,vehicle,25.6181,22.8634,0.0024,1000000.0000
1618424818070,10956,FRONT-eval,281,vehicle,25.6199,22.6226,0.0024,1000000.0000
1618424818369,11006,FRONT-eval,281,vehicle,25.6217,22.3818,0.0024,1000000.0000
1618424818624,11056,FRONT-eval,281,vehicle,25.6237,22.1409,0.0024,1000000.0000
1618424818904,11106,FRONT-eval,281,vehicle,25.6256,21.9000,0.0024,1000000.0000
1618424819224,11156,FRONT-eval,281,vehicle,25.6276,21.6591,0.0024,1000000.0000
1618424819474,11206,FRONT-eval,281,vehicle,25.6295,21.4182,0.0024,1000000.0000
1618424819820,11256,FRONT-eval,281,vehicle,25.6314,21.1773,0.0024,184.6867
1618424820054,11306,FRONT-eval,281,vehicle,25.6334,20.9364,0.0024,1000000.0000
