TIME,SIMTIME,CAMERA,GROUNDID,LABEL,X,Y,Z,ERROR
1618425598347,2544,FRONT-eval,300,vehicle,22.6963,-3.8810,-0.0897,6.1054
1618425598348,2544,FRONT-eval,336,vehicle,34.8154,12.4313,-0.0766,1000000.0000
1618425598349,2544,FRONT-eval,300,vehicle,22.6963,-3.8810,-0.0846,6.1467
1618425598350,2544,FRONT-eval,336,vehicle,34.8154,12.4313,-0.0577,1000000.0000
1618425598625,2594,FRONT-eval,300,vehicle,22.6963,-3.8810,-0.0731,6.1361
1618425598625,2594,FRONT-eval,336,vehicle,34.8154,12.4313,-0.0602,1000000.0000
1618425598912,2644,FRONT-eval,300,vehicle,22.6963,-3.8810,-0.0676,6.1310
1618425598912,2644,FRONT-eval,336,vehicle,34.8154,12.4313,-0.0801,1000000.0000
1618425599182,2694,FRONT-eval,300,vehicle,22.6963,-3.8810,-0.0630,6.1266
1618425599183,2694,FRONT-eval,336,vehicle,34.8154,12.4313,-0.1014,1000000.0000
1618425599522,2744,FRONT-eval,300,vehicle,22.6963,-3.8810,-0.0581,6.1218
1618425599522,2744,FRONT-eval,336,vehicle,34.8154,12.4313,-0.1167,1000000.0000
1618425599807,2794,FRONT-eval,300,vehicle,22.6963,-3.8810,-0.0530,6.1168
1618425599807,2794,FRONT-eval,336,vehicle,34.8154,12.4313,-0.1234,1000000.0000
1618425600100,2844,FRONT-eval,300,vehicle,22.6963,-3.8810,-0.0484,6.1122
1618425600100,2844,FRONT-eval,336,vehicle,34.8154,12.4313,-0.1216,1000000.0000
1618425600438,2894,FRONT-eval,300,vehicle,22.6963,-3.8810,-0.0445,6.1542
1618425600439,2894,FRONT-eval,336,vehicle,34.8154,12.4313,-0.1128,1000000.0000
1618425600681,2944,FRONT-eval,300,vehicle,22.6963,-3.8810,-0.0415,6.1056
1618425600682,2944,FRONT-eval,336,vehicle,34.8154,12.4313,-0.0992,1000000.0000
1618425600990,2994,FRONT-eval,300,vehicle,22.6963,-3.8810,-0.0395,6.1036
