TIME,SIMTIME,CAMERA,GROUNDID,LABEL,X,Y,Z,ERROR
1617820292614,2451,FRONT-eval,372,person,30.0060,-7.0622,1.2235,0.1847
1617820292614,2451,FRONT-eval,304,vehicle,34.8154,12.4313,-0.0836,1000000.0000
1617820292615,2451,FRONT-eval,372,person,29.9326,-7.0626,1.2245,0.1793
1617820292615,2451,FRONT-eval,304,vehicle,34.8154,12.4313,-0.0510,1000000.0000
1617820292787,2501,FRONT-eval,372,person,29.8591,-7.0630,1.1674,1000000.0000
1617820292787,2501,FRONT-eval,304,vehicle,34.8154,12.4313,-0.0242,1000000.0000
1617820293164,2551,FRONT-eval,372,person,29.7856,-7.0634,1.0546,0.0439
1617820293164,2551,FRONT-eval,304,vehicle,34.8154,12.4313,-0.0112,1000000.0000
1617820293450,2601,FRONT-eval,372,person,29.7121,-7.0638,1.0454,0.1765
1617820293450,2601,FRONT-eval,304,vehicle,34.8154,12.4313,-0.0041,1000000.0000
1617820293754,2651,FRONT-eval,372,person,29.6386,-7.0642,1.0447,0.1694
1617820293754,2651,FRONT-eval,304,vehicle,34.8154,12.4313,0.0005,1000000.0000
1617820294080,2701,FRONT-eval,372,person,29.5652,-7.0646,1.0413,0.2001
1617820294080,2701,FRONT-eval,304,vehicle,34.8154,12.4313,0.0040,1000000.0000
1617820294413,2751,FRONT-eval,372,person,29.4917,-7.0650,1.0372,0.1682
1617820294413,2751,FRONT-eval,304,vehicle,34.8154,12.4313,0.0067,1000000.0000
1617820294745,2801,FRONT-eval,372,person,29.4182,-7.0654,1.0334,0.2497
1617820294745,2801,FRONT-eval,304,vehicle,34.8154,12.4313,0.0086,1000000.0000
1617820295079,2851,FRONT-eval,372,person,29.3447,-7.0658,1.0302,0.2040
1617820295080,2851,FRONT-eval,304,vehicle,34.8154,12.4313,0.0099,1000000.0000
1617820295420,2901,FRONT-eval,372,person,29.2712,-7.0662,1.0277,0.1182
1617820295421,2901,FRONT-eval,304,vehicle,34.8154,12.4313,0.0107,1000000.0000
1617820295659,2951,FRONT-eval,372,person,29.1977,-7.0667,1.0258,1000000.0000
1617820295660,2951,FRONT-eval,304,vehicle,34.8154,12.4313,0.0110,1000000.0000
1617820295923,3001,FRONT-eval,372,person,29.1242,-7.0671,1.0244,1000000.0000
1617820295923,3001,FRONT-eval,304,vehicle,34.8154,12.4313,0.0111,1000000.0000
1617820296207,3051,FRONT-eval,372,person,29.0508,-7.0675,1.0235,1000000.0000
1617820296207,3051,FRONT-eval,304,vehicle,34.8154,12.4313,0.0109,1000000.0000
1617820296488,3101,FRONT-eval,372,person,28.9773,-7.0679,1.0227,1000000.0000
1617820296488,3101,FRONT-eval,304,vehicle,34.8154,12.4313,0.0106,1000000.0000
1617820296759,3151,FRONT-eval,372,person,28.9038,-7.0683,1.0223,1000000.0000
1617820296759,3151,FRONT-eval,304,vehicle,34.8154,12.4313,0.0102,1000000.0000
1617820297031,3201,FRONT-eval,372,person,28.8303,-7.0687,1.0219,1000000.0000
1617820297031,3201,FRONT-eval,304,vehicle,34.8154,12.4313,0.0099,1000000.0000
1617820297280,3251,FRONT-eval,372,person,28.7568,-7.0691,1.0217,1000000.0000
1617820297280,3251,FRONT-eval,304,vehicle,34.8154,12.4313,0.0096,1000000.0000
1617820297571,3301,FRONT-eval,372,person,28.6833,-7.0695,1.0215,1000000.0000
1617820297571,3301,FRONT-eval,304,vehicle,34.8154,12.4313,0.0093,1000000.0000
1617820297840,3351,FRONT-eval,372,person,28.6098,-7.0699,1.0214,1000000.0000
1617820297840,3351,FRONT-eval,304,vehicle,34.8154,12.4313,0.0091,1000000.0000
1617820298091,3401,FRONT-eval,372,person,28.5363,-7.0703,1.0213,1000000.0000
1617820298091,3401,FRONT-eval,304,vehicle,34.8154,12.4313,0.0090,1000000.0000
1617820298351,3451,FRONT-eval,372,person,28.4629,-7.0707,1.0213,1000000.0000
1617820298351,3451,FRONT-eval,304,vehicle,34.8154,12.4313,0.0089,1000000.0000
1617820298601,3501,FRONT-eval,372,person,28.3894,-7.0711,1.0213,1000000.0000
1617820298601,3501,FRONT-eval,304,vehicle,34.8154,12.4313,0.0088,1000000.0000
1617820298895,3551,FRONT-eval,372,person,28.3159,-7.0715,1.0212,1000000.0000
1617820298895,3551,FRONT-eval,304,vehicle,34.8154,12.4313,0.0088,1000000.0000
1617820299139,3601,FRONT-eval,372,person,28.2424,-7.0719,1.0212,1000000.0000
1617820299139,3601,FRONT-eval,304,vehicle,34.8154,12.4313,0.0087,1000000.0000
1617820299383,3651,FRONT-eval,372,person,28.1689,-7.0723,1.0212,1000000.0000
1617820299383,3651,FRONT-eval,304,vehicle,34.8154,12.4313,0.0087,1000000.0000
1617820299639,3701,FRONT-eval,372,person,28.0954,-7.0727,1.0212,1000000.0000
1617820299639,3701,FRONT-eval,304,vehicle,34.8154,12.4313,0.0087,1000000.0000
