TIME,SIMTIME,CAMERA,GROUNDID,LABEL,X,Y,Z,ERROR
1615403736577,2469,FRONT-eval,323,person,30.0723,-7.1333,1.2235,353.3817
1615403736577,2469,FRONT-eval,279,vehicle,34.8154,12.4313,-0.0897,411.9409
1615403736577,2469,FRONT-eval,446,person,44.6794,-39.9206,1.2233,1000000.0000
1615403736577,2469,FRONT-eval,476,person,44.5437,-31.2773,0.8783,1000000.0000
1615403736578,2469,FRONT-eval,323,person,30.0723,-7.1333,1.2245,243.0776
1615403736578,2469,FRONT-eval,279,vehicle,34.8154,12.4313,-0.0770,408.3610
1615403736578,2469,FRONT-eval,476,person,44.5377,-31.3438,0.9650,0.0422
1615403736578,2469,FRONT-eval,446,person,44.6698,-39.9859,1.2243,1000000.0000
1615403736862,2519,FRONT-eval,323,person,30.0658,-7.2065,1.1674,266.3465
1615403736862,2519,FRONT-eval,279,vehicle,34.8154,12.4313,-0.0551,413.0087
1615403736862,2519,FRONT-eval,476,person,44.5325,-31.4112,1.0182,1000000.0000
1615403737188,2569,FRONT-eval,323,person,30.0595,-7.2797,1.0546,287.5690
1615403737188,2569,FRONT-eval,279,vehicle,34.8154,12.4313,-0.0432,412.9819
1615403737189,2569,FRONT-eval,476,person,44.5275,-31.4786,1.0402,1000000.0000
1615403737505,2619,FRONT-eval,323,person,30.0595,-7.2797,1.0454,287.5671
1615403737505,2619,FRONT-eval,279,vehicle,34.8154,12.4313,-0.0369,417.8997
1615403737505,2619,FRONT-eval,476,person,44.5223,-31.5460,1.0466,0.0489
1615403737809,2669,FRONT-eval,323,person,30.0535,-7.3530,1.0447,284.3950
1615403737809,2669,FRONT-eval,476,person,44.5173,-31.6134,1.0460,0.0131
1615403737809,2669,FRONT-eval,279,vehicle,34.8154,12.4313,-0.0337,420.3715
1615403738112,2719,FRONT-eval,323,person,30.0477,-7.4262,1.0413,291.3156
1615403738113,2719,FRONT-eval,279,vehicle,34.8154,12.4313,-0.0322,422.8554
1615403738113,2719,FRONT-eval,476,person,44.5122,-31.6808,1.0426,1.2249
1615403738417,2769,FRONT-eval,323,person,30.0423,-7.4995,1.0372,293.2166
1615403738417,2769,FRONT-eval,279,vehicle,34.8154,12.4313,-0.0316,423.8089
1615403738417,2769,FRONT-eval,476,person,44.5071,-31.7482,1.0385,1000000.0000
1615403738680,2819,FRONT-eval,323,person,30.0373,-7.5729,1.0334,290.1054
1615403738680,2819,FRONT-eval,279,vehicle,34.8154,12.4313,-0.0314,427.1495
1615403738680,2819,FRONT-eval,476,person,44.5020,-31.8156,1.0347,1000000.0000
1615403738979,2869,FRONT-eval,323,person,30.0327,-7.6462,1.0302,282.3722
1615403738979,2869,FRONT-eval,279,vehicle,34.8154,12.4313,-0.0314,432.1786
1615403738979,2869,FRONT-eval,476,person,44.4969,-31.8830,1.0315,1000000.0000
1615403739291,2919,FRONT-eval,279,vehicle,34.8154,12.4313,-0.0315,439.7781
1615403739291,2919,FRONT-eval,323,person,30.0286,-7.7196,1.0277,284.3409
1615403739291,2919,FRONT-eval,476,person,44.4918,-31.9503,1.0290,1000000.0000
1615403739601,2969,FRONT-eval,279,vehicle,34.8154,12.4313,-0.0316,442.3279
1615403739601,2969,FRONT-eval,323,person,30.0250,-7.7930,1.0258,1000000.0000
1615403739601,2969,FRONT-eval,476,person,44.4867,-32.0177,1.0271,1000000.0000
1615403739899,3019,FRONT-eval,279,vehicle,34.8154,12.4313,-0.0317,442.8756
1615403739900,3019,FRONT-eval,323,person,30.0222,-7.8665,1.0245,293.1163
1615403739900,3019,FRONT-eval,476,person,44.4816,-32.0851,1.0257,1000000.0000
1615403740156,3069,FRONT-eval,279,vehicle,34.8154,12.4313,-0.0318,450.5441
1615403740156,3069,FRONT-eval,323,person,30.0201,-7.9399,1.0235,1000000.0000
1615403740156,3069,FRONT-eval,476,person,44.4765,-32.1525,1.0247,1000000.0000
1615403740406,3119,FRONT-eval,279,vehicle,34.8154,12.4313,-0.0319,453.1149
1615403740406,3119,FRONT-eval,323,person,30.0191,-8.0134,1.0228,1000000.0000
1615403740406,3119,FRONT-eval,476,person,44.4714,-32.2199,1.0240,1000000.0000
1615403740717,3169,FRONT-eval,323,person,29.9841,-8.0780,1.0223,0.1747
1615403740717,3169,FRONT-eval,279,vehicle,34.8154,12.4313,-0.0319,233.9861
1615403740717,3169,FRONT-eval,476,person,44.4663,-32.2872,1.0235,1000000.0000
1615403741034,3219,FRONT-eval,279,vehicle,34.8154,12.4313,-0.0320,248.2526
1615403741034,3219,FRONT-eval,323,person,29.9509,-8.1436,1.0219,1000000.0000
1615403741034,3219,FRONT-eval,476,person,44.4612,-32.3546,1.0232,1000000.0000
1615403741331,3269,FRONT-eval,323,person,29.9198,-8.2102,1.0217,0.2301
1615403741331,3269,FRONT-eval,279,vehicle,34.8154,12.4313,-0.0320,248.2522
1615403741331,3269,FRONT-eval,476,person,44.4561,-32.4220,1.0229,1000000.0000
1615403741653,3319,FRONT-eval,323,person,29.8909,-8.2778,1.0215,0.1026
1615403741653,3319,FRONT-eval,279,vehicle,34.8154,12.4313,-0.0320,248.2520
