TIME,SIMTIME,CAMERA,GROUNDID,LABEL,X,Y,Z,ERROR
1620096208887,2680,FRONT-eval,337,vehicle,39.6250,-16.7031,-0.0301,55.2583
1620096208888,2680,FRONT-eval,305,vehicle,34.8125,12.4297,-0.0897,1000000.0000
1620096208891,2680,FRONT-eval,337,vehicle,39.6250,-16.7031,0.0397,6.2891
1620096208892,2680,FRONT-eval,305,vehicle,34.8125,12.4297,-0.0816,1000000.0000
1620096209213,2730,FRONT-eval,337,vehicle,39.6250,-16.7031,0.0859,55.4327
1620096209213,2730,FRONT-eval,305,vehicle,34.8125,12.4297,-0.0616,1000000.0000
1620096209520,2780,FRONT-eval,337,vehicle,39.6250,-16.7031,0.1058,53.1304
1620096209521,2780,FRONT-eval,305,vehicle,34.8125,12.4297,-0.0505,1000000.0000
1620096209798,2830,FRONT-eval,337,vehicle,39.6250,-16.7031,0.1124,53.1304
1620096209799,2830,FRONT-eval,305,vehicle,34.8125,12.4297,-0.0445,1000000.0000
1620096210079,2880,FRONT-eval,337,vehicle,39.6250,-16.7031,0.1128,53.1304
1620096210080,2880,FRONT-eval,305,vehicle,34.8125,12.4297,-0.0414,1000000.0000
1620096210458,2930,FRONT-eval,337,vehicle,39.6250,-16.7031,0.1106,53.3585
1620096210458,2930,FRONT-eval,305,vehicle,34.8125,12.4297,-0.0397,1000000.0000
1620096210753,2980,FRONT-eval,337,vehicle,39.6250,-16.7031,0.1077,53.1304
1620096210753,2980,FRONT-eval,305,vehicle,34.8125,12.4297,-0.0390,1000000.0000
1620096211037,3030,FRONT-eval,337,vehicle,39.6250,-16.7031,0.1049,53.3585
1620096211037,3030,FRONT-eval,305,vehicle,34.8125,12.4297,-0.0387,1000000.0000
1620096211339,3080,FRONT-eval,337,vehicle,39.6250,-16.7031,0.1024,53.3585
1620096211339,3080,FRONT-eval,305,vehicle,34.8125,12.4297,-0.0386,1000000.0000
1620096211625,3130,FRONT-eval,337,vehicle,39.6250,-16.7031,0.1005,53.3585
1620096211626,3130,FRONT-eval,305,vehicle,34.8125,12.4297,-0.0386,1000000.0000
1620096211898,3180,FRONT-eval,337,vehicle,39.6250,-16.7031,0.0991,55.3745
1620096211898,3180,FRONT-eval,305,vehicle,34.8125,12.4297,-0.0387,1000000.0000
1620096212222,3230,FRONT-eval,337,vehicle,39.6250,-16.7031,0.0980,55.4327
1620096212223,3230,FRONT-eval,305,vehicle,34.8125,12.4297,-0.0387,1000000.0000
1620096212479,3280,FRONT-eval,337,vehicle,39.6250,-16.7031,0.0972,55.4327
1620096212479,3280,FRONT-eval,305,vehicle,34.8125,12.4297,-0.0388,1000000.0000
1620096212793,3330,FRONT-eval,337,vehicle,39.6250,-16.7031,0.0967,55.4327
1620096212793,3330,FRONT-eval,305,vehicle,34.8125,12.4297,-0.0388,1000000.0000
1620096213094,3380,FRONT-eval,337,vehicle,39.6250,-16.7031,0.0963,55.4327
1620096213095,3380,FRONT-eval,305,vehicle,34.8125,12.4297,-0.0389,1000000.0000
1620096213391,3430,FRONT-eval,337,vehicle,39.6250,-16.7031,0.0960,55.4327
1620096213391,3430,FRONT-eval,305,vehicle,34.8125,12.4297,-0.0389,1000000.0000
1620096213668,3480,FRONT-eval,337,vehicle,39.6250,-16.7031,0.0958,55.4327
1620096213669,3480,FRONT-eval,305,vehicle,34.8125,12.4297,-0.0389,1000000.0000
1620096214015,3530,FRONT-eval,337,vehicle,39.6250,-16.7031,0.0957,4.7425
1620096214015,3530,FRONT-eval,305,vehicle,34.8125,12.4297,-0.0389,1000000.0000
1620096214306,3580,FRONT-eval,337,vehicle,39.6250,-16.7031,0.0956,55.4327
1620096214307,3580,FRONT-eval,305,vehicle,34.8125,12.4297,-0.0389,1000000.0000
1620096214582,3630,FRONT-eval,337,vehicle,39.6250,-16.7031,0.0956,4.7425
1620096214582,3630,FRONT-eval,305,vehicle,34.8125,12.4297,-0.0389,1000000.0000
1620096214875,3680,FRONT-eval,337,vehicle,39.6250,-16.7031,0.0955,55.4327
1620096214876,3680,FRONT-eval,305,vehicle,34.8125,12.4297,-0.0389,1000000.0000
1620096215202,3730,FRONT-eval,337,vehicle,39.6250,-16.7031,0.0955,55.4327
1620096215202,3730,FRONT-eval,305,vehicle,34.8125,12.4297,-0.0389,1000000.0000
1620096215502,3780,FRONT-eval,337,vehicle,39.6250,-16.7031,0.0955,55.4327
1620096215503,3780,FRONT-eval,305,vehicle,34.8125,12.4297,-0.0390,1000000.0000
1620096215872,3830,FRONT-eval,337,vehicle,39.6250,-16.7031,0.0955,55.4327
1620096215872,3830,FRONT-eval,305,vehicle,34.8125,12.4297,-0.0390,1000000.0000
1620096216155,3880,FRONT-eval,337,vehicle,39.6250,-16.7031,0.0955,55.4327
1620096216155,3880,FRONT-eval,305,vehicle,34.8125,12.4297,-0.0390,1000000.0000
1620096216462,3930,FRONT-eval,337,vehicle,39.6250,-16.7031,0.0955,4.7425
1620096216462,3930,FRONT-eval,305,vehicle,34.8125,12.4297,-0.0390,1000000.0000
1620096216794,3980,FRONT-eval,337,vehicle,39.6250,-16.7031,0.0955,4.7001
1620096216795,3980,FRONT-eval,305,vehicle,34.8125,12.4297,-0.0390,1000000.0000
1620096217055,4030,FRONT-eval,337,vehicle,39.6250,-16.7031,0.0955,55.4327
1620096217055,4030,FRONT-eval,305,vehicle,34.8125,12.4297,-0.0390,1000000.0000
1620096217391,4080,FRONT-eval,337,vehicle,39.6250,-16.7031,0.0955,4.7001
1620096217391,4080,FRONT-eval,305,vehicle,34.8125,12.4297,-0.0390,1000000.0000
1620096217734,4130,FRONT-eval,337,vehicle,39.6250,-16.7031,0.0955,4.7001
1620096217735,4130,FRONT-eval,305,vehicle,34.8125,12.4297,-0.0390,1000000.0000
1620096217967,4180,FRONT-eval,337,vehicle,39.6250,-16.7031,0.0955,4.7425
1620096217968,4180,FRONT-eval,305,vehicle,34.8125,12.4297,-0.0390,1000000.0000
1620096218248,4230,FRONT-eval,337,vehicle,39.6250,-16.7031,0.0955,4.7001
1620096218248,4230,FRONT-eval,305,vehicle,34.8125,12.4297,-0.0390,1000000.0000
1620096218575,4280,FRONT-eval,337,vehicle,39.6250,-16.7031,0.0955,4.7425
1620096218575,4280,FRONT-eval,305,vehicle,34.8125,12.4297,-0.0390,1000000.0000
1620096218920,4330,FRONT-eval,337,vehicle,39.6250,-16.7031,0.0955,4.7425
1620096218921,4330,FRONT-eval,305,vehicle,34.8125,12.4297,-0.0390,1000000.0000
1620096219202,4380,FRONT-eval,337,vehicle,39.6250,-16.7031,0.0955,4.7425
1620096219202,4380,FRONT-eval,305,vehicle,34.8125,12.4297,-0.0390,1000000.0000
1620096219498,4430,FRONT-eval,337,vehicle,39.6250,-16.7031,0.0955,4.7425
1620096219498,4430,FRONT-eval,305,vehicle,34.8125,12.4297,-0.0390,1000000.0000
1620096219814,4480,FRONT-eval,337,vehicle,39.6250,-16.7031,0.0955,4.7001
1620096219815,4480,FRONT-eval,305,vehicle,34.8125,12.4297,-0.0390,1000000.0000
1620096220122,4530,FRONT-eval,337,vehicle,39.6250,-16.7031,0.0955,4.7001
1620096220123,4530,FRONT-eval,305,vehicle,34.8125,12.4297,-0.0390,1000000.0000
1620096220446,4580,FRONT-eval,337,vehicle,39.6250,-16.7031,0.0955,4.7001
1620096220446,4580,FRONT-eval,305,vehicle,34.8125,12.4297,-0.0390,1000000.0000
1620096220753,4630,FRONT-eval,337,vehicle,39.6250,-16.7031,0.0955,4.7001
1620096220753,4630,FRONT-eval,305,vehicle,34.8125,12.4297,-0.0390,1000000.0000
1620096221062,4680,FRONT-eval,337,vehicle,39.6250,-16.7031,0.0955,4.7425
1620096221063,4680,FRONT-eval,305,vehicle,34.8125,12.4297,-0.0390,1000000.0000
1620096221390,4730,FRONT-eval,337,vehicle,39.6250,-16.7031,0.0955,4.7425
1620096221390,4730,FRONT-eval,305,vehicle,34.8125,12.4297,-0.0390,1000000.0000
1620096221664,4780,FRONT-eval,337,vehicle,39.6250,-16.7031,0.0955,4.7425
1620096221664,4780,FRONT-eval,305,vehicle,34.8125,12.4297,-0.0390,1000000.0000
1620096221985,4830,FRONT-eval,337,vehicle,39.6250,-16.7031,0.0955,4.7425
1620096221986,4830,FRONT-eval,305,vehicle,34.8125,12.4297,-0.0390,1000000.0000
1620096222299,4880,FRONT-eval,337,vehicle,39.6250,-16.7031,0.0955,4.7001
1620096222299,4880,FRONT-eval,305,vehicle,34.8125,12.4297,-0.0390,1000000.0000
1620096222604,4930,FRONT-eval,337,vehicle,39.6250,-16.7031,0.0955,4.7001
1620096222604,4930,FRONT-eval,305,vehicle,34.8125,12.4297,-0.0390,1000000.0000
1620096222882,4980,FRONT-eval,337,vehicle,39.6250,-16.7031,0.0955,4.7001
1620096222883,4980,FRONT-eval,305,vehicle,34.8125,12.4297,-0.0390,1000000.0000
1620096223181,5030,FRONT-eval,337,vehicle,39.6250,-16.7344,0.0953,4.5823
1620096223181,5030,FRONT-eval,305,vehicle,34.8125,12.4609,-0.0388,1000000.0000
1620096223489,5080,FRONT-eval,337,vehicle,39.5938,-16.8125,0.0700,54.7369
1620096223490,5080,FRONT-eval,305,vehicle,34.8125,12.5234,-0.0635,1000000.0000
1620096223773,5130,FRONT-eval,337,vehicle,39.5312,-16.9688,0.0351,5.7525
1620096223774,5130,FRONT-eval,305,vehicle,34.7812,12.6016,-0.0971,1000000.0000
1620096224065,5180,FRONT-eval,337,vehicle,39.4062,-17.1562,0.0038,6.0562
1620096224066,5180,FRONT-eval,305,vehicle,34.7500,12.6953,-0.1255,1000000.0000
1620096224374,5230,FRONT-eval,337,vehicle,39.2812,-17.3906,-0.0165,4.5322
1620096224374,5230,FRONT-eval,305,vehicle,34.6875,12.7891,-0.1462,1000000.0000
1620096224654,5280,FRONT-eval,337,vehicle,39.1250,-17.6406,-0.0288,5.1952
1620096224654,5280,FRONT-eval,305,vehicle,34.5938,12.8906,-0.1570,1000000.0000
1620096224967,5330,FRONT-eval,337,vehicle,38.9688,-17.9062,-0.0330,5.9796
1620096224967,5330,FRONT-eval,305,vehicle,34.5000,13.0000,-0.1605,1000000.0000
1620096225274,5380,FRONT-eval,337,vehicle,38.7812,-18.1719,-0.0323,4.6663
1620096225278,5380,FRONT-eval,305,vehicle,34.3750,13.1250,-0.1576,1000000.0000
1620096225570,5430,FRONT-eval,337,vehicle,38.5938,-18.3906,-0.0292,5.7619
1620096225570,5430,FRONT-eval,305,vehicle,34.2188,13.2812,-0.1493,1000000.0000
1620096225820,5480,FRONT-eval,337,vehicle,38.4062,-18.6094,-0.0218,5.9414
1620096225821,5480,FRONT-eval,305,vehicle,34.0625,13.4609,-0.1394,1000000.0000
1620096226119,5530,FRONT-eval,337,vehicle,38.1875,-18.8281,-0.0100,6.0851
1620096226119,5530,FRONT-eval,305,vehicle,33.9062,13.6406,-0.1300,1000000.0000
1620096226438,5580,FRONT-eval,337,vehicle,38.0000,-19.0625,0.0032,64.6265
1620096226438,5580,FRONT-eval,305,vehicle,33.7500,13.8203,-0.1204,1000000.0000
1620096226761,5630,FRONT-eval,305,vehicle,33.5625,14.0000,-0.1100,58.1406
1620096226761,5630,FRONT-eval,337,vehicle,37.7812,-19.2812,0.0151,5.1685
1620096227037,5680,FRONT-eval,337,vehicle,37.5625,-19.5156,0.0266,5.0977
1620096227037,5680,FRONT-eval,305,vehicle,33.3750,14.1953,-0.1003,1000000.0000
1620096227289,5730,FRONT-eval,337,vehicle,37.3438,-19.7500,0.0365,4.9663
1620096227290,5730,FRONT-eval,305,vehicle,33.1875,14.3906,-0.0912,1000000.0000
1620096227595,5780,FRONT-eval,337,vehicle,37.0938,-19.9844,0.0460,71.3233
1620096227595,5780,FRONT-eval,305,vehicle,33.0000,14.5859,-0.0836,1000000.0000
1620096227887,5830,FRONT-eval,337,vehicle,36.8750,-20.2031,0.0537,4.8023
1620096227887,5830,FRONT-eval,305,vehicle,32.8125,14.7891,-0.0767,1000000.0000
1620096228157,5880,FRONT-eval,337,vehicle,36.6562,-20.4375,0.0602,5.0274
1620096228157,5880,FRONT-eval,305,vehicle,32.6250,14.9922,-0.0708,1000000.0000
1620096228474,5930,FRONT-eval,337,vehicle,36.4062,-20.6719,0.0659,78.2119
1620096228474,5930,FRONT-eval,305,vehicle,32.4375,15.1953,-0.0660,1000000.0000
1620096228747,5980,FRONT-eval,337,vehicle,36.1875,-20.8906,0.0702,5.4020
1620096228747,5980,FRONT-eval,305,vehicle,32.2188,15.4062,-0.0616,1000000.0000
1620096229056,6030,FRONT-eval,337,vehicle,35.9688,-21.1250,0.0742,5.8466
1620096229056,6030,FRONT-eval,305,vehicle,32.0312,15.6172,-0.0583,1000000.0000
1620096229387,6080,FRONT-eval,337,vehicle,35.7188,-21.3594,0.0775,5.5943
1620096229387,6080,FRONT-eval,305,vehicle,31.8281,15.8281,-0.0556,1000000.0000
1620096229679,6130,FRONT-eval,337,vehicle,35.5000,-21.5781,0.0800,5.7525
1620096229679,6130,FRONT-eval,305,vehicle,31.6250,16.0469,-0.0532,1000000.0000
1620096229971,6180,FRONT-eval,337,vehicle,35.2500,-21.8125,0.0823,6.1044
1620096229972,6180,FRONT-eval,305,vehicle,31.4219,16.2656,-0.0512,1000000.0000
1620096230258,6230,FRONT-eval,337,vehicle,35.0312,-22.0312,0.0840,5.6778
1620096230258,6230,FRONT-eval,305,vehicle,31.2188,16.4844,-0.0495,1000000.0000
1620096230527,6280,FRONT-eval,337,vehicle,34.7812,-22.2656,0.0856,5.0801
1620096230527,6280,FRONT-eval,305,vehicle,31.0156,16.7031,-0.0481,1000000.0000
1620096230834,6330,FRONT-eval,337,vehicle,34.5312,-22.4844,0.0870,5.8655
1620096230835,6330,FRONT-eval,305,vehicle,30.8125,16.9219,-0.0470,1000000.0000
1620096231108,6380,FRONT-eval,337,vehicle,34.3125,-22.7188,0.0880,5.5667
1620096231109,6380,FRONT-eval,305,vehicle,30.6094,17.1406,-0.0459,1000000.0000
1620096231372,6430,FRONT-eval,337,vehicle,34.0625,-22.9375,0.0888,5.5943
